"Latest: Time (ms)","Latest: Sound Pressure","Latest: Offset Pressure (arbitrary)","Run 1: Time (s)","Run 1: Sound Pressure","Run 1: Offset Pressure (arbitrary)"
3.08,2.37118437118,-0.331509886888,0.00308,2.67155067155,-0.0432922618132
3.1,2.37118437118,-0.331509886888,0.0031,2.67155067155,-0.0432922618132
3.12,2.37728937729,-0.325404880783,0.00312,2.73748473748,0.0226418041208
3.14,2.37728937729,-0.325404880783,0.00314,2.73748473748,0.0226418041208
3.16,2.38095238095,-0.32174187712,0.00316,2.5811965812,-0.133646352167
3.18,2.38095238095,-0.32174187712,0.00318,2.5811965812,-0.133646352167
3.2,2.38705738706,-0.315636871015,0.0032,2.50549450549,-0.209348427869
3.22,2.38705738706,-0.315636871015,0.00322,2.50549450549,-0.209348427869
3.24,2.3894993895,-0.313194868573,0.00324,2.60317460317,-0.111668330189
3.26,2.3894993895,-0.313194868573,0.00326,2.60317460317,-0.111668330189
3.28,2.39072039072,-0.311973867352,0.00328,2.7264957265,0.0116527931318
3.3,2.39072039072,-0.311973867352,0.0033,2.7264957265,0.0116527931318
3.32,2.39316239316,-0.30953186491,0.00332,2.70451770452,-0.0103252288462
3.34,2.39316239316,-0.30953186491,0.00334,2.70451770452,-0.0103252288462
3.36,2.39316239316,-0.30953186491,0.00336,2.76923076923,0.0543878358669
3.38,2.39316239316,-0.30953186491,0.00338,2.76923076923,0.0543878358669
3.4,2.39926739927,-0.303426858805,0.0034,2.90476190476,0.189918971398
3.42,2.39926739927,-0.303426858805,0.00342,2.90476190476,0.189918971398
3.44,2.40170940171,-0.300984856363,0.00344,2.97435897436,0.259516040995
3.46,2.40170940171,-0.300984856363,0.00346,2.97435897436,0.259516040995
3.48,2.40293040293,-0.299763855142,0.00348,2.94017094017,0.225328006807
3.5,2.40293040293,-0.299763855142,0.0035,2.94017094017,0.225328006807
3.52,2.40293040293,-0.299763855142,0.00352,2.87545787546,0.160614942094
3.54,2.40293040293,-0.299763855142,0.00354,2.87545787546,0.160614942094
3.56,2.40903540904,-0.293658849037,0.00356,2.80708180708,0.0922388737179
3.58,2.40903540904,-0.293658849037,0.00358,2.80708180708,0.0922388737179
3.6,2.42979242979,-0.27290182828,0.0036,2.70695970696,-0.00788322640421
3.62,2.42979242979,-0.27290182828,0.00362,2.70695970696,-0.00788322640421
3.64,2.44566544567,-0.257028812407,0.00364,2.61782661783,-0.0970163155373
3.66,2.44566544567,-0.257028812407,0.00366,2.61782661783,-0.0970163155373
3.68,2.46031746032,-0.242376797755,0.00368,2.5409035409,-0.17393939246
3.7,2.46031746032,-0.242376797755,0.0037,2.5409035409,-0.17393939246
3.72,2.46031746032,-0.242376797755,0.00372,2.60683760684,-0.108005326526
3.74,2.46031746032,-0.242376797755,0.00374,2.60683760684,-0.108005326526
3.76,2.43101343101,-0.271680827059,0.00376,2.72161172161,0.00676878824781
3.78,2.43101343101,-0.271680827059,0.00378,2.72161172161,0.00676878824781
3.8,2.42979242979,-0.27290182828,0.0038,2.80952380952,0.0946808761599
3.82,2.42979242979,-0.27290182828,0.00382,2.80952380952,0.0946808761599
3.84,2.43467643468,-0.268017823396,0.00384,2.79609279609,0.0812498627289
3.86,2.43467643468,-0.268017823396,0.00386,2.79609279609,0.0812498627289
3.88,2.44322344322,-0.259470814849,0.00388,2.79487179487,0.0800288615079
3.9,2.44322344322,-0.259470814849,0.0039,2.79487179487,0.0800288615079
3.92,2.47985347985,-0.222840778219,0.00392,2.85592185592,0.141078922558
3.94,2.47985347985,-0.222840778219,0.00394,2.85592185592,0.141078922558
3.96,2.46886446886,-0.233829789208,0.00396,2.89010989011,0.175266956746
3.98,2.46886446886,-0.233829789208,0.00398,2.89010989011,0.175266956746
4,2.44444444444,-0.258249813628,0.004,2.88034188034,0.165498946978
4.02,2.44444444444,-0.258249813628,0.00402,2.88034188034,0.165498946978
4.04,2.45054945055,-0.252144807523,0.00404,2.85225885226,0.137415918895
4.06,2.45054945055,-0.252144807523,0.00406,2.85225885226,0.137415918895
4.08,2.47741147741,-0.225282780661,0.00408,2.83028083028,0.115437896917
4.1,2.47741147741,-0.225282780661,0.0041,2.83028083028,0.115437896917
4.12,2.46886446886,-0.233829789208,0.00412,2.78632478632,0.0714818529609
4.14,2.46886446886,-0.233829789208,0.00414,2.78632478632,0.0714818529609
4.16,2.49572649573,-0.206967762346,0.00416,2.72527472527,0.0104317919108
4.18,2.49572649573,-0.206967762346,0.00418,2.72527472527,0.0104317919108
4.2,2.4884004884,-0.214293769672,0.0042,2.69597069597,-0.0188722373932
4.22,2.4884004884,-0.214293769672,0.00422,2.69597069597,-0.0188722373932
4.24,2.4652014652,-0.237492792871,0.00424,2.71428571429,-0.000557219078199
4.26,2.4652014652,-0.237492792871,0.00426,2.71428571429,-0.000557219078199
4.28,2.48107448107,-0.221619776998,0.00428,2.72283272283,0.00798978946881
4.3,2.48107448107,-0.221619776998,0.0043,2.72283272283,0.00798978946881
4.32,2.49450549451,-0.208188763567,0.00432,2.69474969475,-0.0200932386142
4.34,2.49450549451,-0.208188763567,0.00434,2.69474969475,-0.0200932386142
4.36,2.49328449328,-0.209409764788,0.00436,2.70573870574,-0.00910422762521
4.38,2.49328449328,-0.209409764788,0.00438,2.70573870574,-0.00910422762521
4.4,2.49328449328,-0.209409764788,0.0044,2.77411477411,0.0592718407509
4.42,2.49328449328,-0.209409764788,0.00442,2.77411477411,0.0592718407509
4.44,2.52014652015,-0.182547737926,0.00444,2.83882783883,0.123984905464
4.46,2.52014652015,-0.182547737926,0.00446,2.83882783883,0.123984905464
4.48,2.50793650794,-0.194757750136,0.00448,2.84981684982,0.134973916453
4.5,2.50793650794,-0.194757750136,0.0045,2.84981684982,0.134973916453
4.52,2.46886446886,-0.233829789208,0.00452,2.82051282051,0.105669887149
4.54,2.46886446886,-0.233829789208,0.00454,2.82051282051,0.105669887149
4.56,2.47130647131,-0.231387786766,0.00456,2.78144078144,0.0665978480769
4.58,2.47130647131,-0.231387786766,0.00458,2.78144078144,0.0665978480769
4.6,2.49084249084,-0.21185176723,0.0046,2.73626373626,0.0214208028998
4.62,2.49084249084,-0.21185176723,0.00462,2.73626373626,0.0214208028998
4.64,2.47863247863,-0.22406177944,0.00464,2.72405372405,0.00921079068981
4.66,2.47863247863,-0.22406177944,0.00466,2.72405372405,0.00921079068981
4.68,2.50305250305,-0.19964175502,0.00468,2.73748473748,0.0226418041208
4.7,2.50305250305,-0.19964175502,0.0047,2.73748473748,0.0226418041208
4.72,2.50305250305,-0.19964175502,0.00472,2.74358974359,0.0287468102258
4.74,2.50305250305,-0.19964175502,0.00474,2.74358974359,0.0287468102258
4.76,2.45054945055,-0.252144807523,0.00476,2.74725274725,0.0324098138888
4.78,2.45054945055,-0.252144807523,0.00478,2.74725274725,0.0324098138888
4.8,2.41391941392,-0.288774844153,0.0048,2.78876678877,0.0739238554029
4.82,2.41391941392,-0.288774844153,0.00482,2.78876678877,0.0739238554029
4.84,2.41025641026,-0.292437847816,0.00484,2.87057387057,0.15573093721
4.86,2.41025641026,-0.292437847816,0.00486,2.87057387057,0.15573093721
4.88,2.35286935287,-0.349824905203,0.00488,2.88766788767,0.172824954304
4.9,2.35286935287,-0.349824905203,0.0049,2.88766788767,0.172824954304
4.92,2.26251526252,-0.440178995557,0.00492,2.84615384615,0.13131091279
4.94,2.26251526252,-0.440178995557,0.00494,2.84615384615,0.13131091279
4.96,2.15018315018,-0.552511107889,0.00496,2.78632478632,0.0714818529609
4.98,2.15018315018,-0.552511107889,0.00498,2.78632478632,0.0714818529609
5,1.90598290598,-0.796711352089,0.005,2.74725274725,0.0324098138888
5.02,1.90598290598,-0.796711352089,0.00502,2.74725274725,0.0324098138888
5.04,1.336996337,-1.36569792108,0.00504,2.71428571429,-0.000557219078199
5.06,1.336996337,-1.36569792108,0.00506,2.71428571429,-0.000557219078199
5.08,0.282051282051,-2.42064297602,0.00508,2.71062271062,-0.0042202227412
5.1,0.282051282051,-2.42064297602,0.0051,2.71062271062,-0.0042202227412
5.12,1.31746031746,-1.38523394061,0.00512,2.73504273504,0.0201998016788
5.14,1.31746031746,-1.38523394061,0.00514,2.73504273504,0.0201998016788
5.16,2.66178266178,-0.0409115962894,0.00516,2.74847374847,0.0336308151098
5.18,2.66178266178,-0.0409115962894,0.00518,2.74847374847,0.0336308151098
5.2,1.25274725275,-1.44994700532,0.0052,2.70818070818,-0.00666222518321
5.22,1.25274725275,-1.44994700532,0.00522,2.70818070818,-0.00666222518321
5.24,3.47008547009,0.767391212013,0.00524,2.72283272283,0.00798978946881
5.26,3.47008547009,0.767391212013,0.00526,2.72283272283,0.00798978946881
5.28,4.35653235653,1.65383809846,0.00528,2.78998778999,0.0751448566239
5.3,4.35653235653,1.65383809846,0.0053,2.78998778999,0.0751448566239
5.32,4.3601953602,1.65750110212,0.00532,2.82905982906,0.114216895696
5.34,4.3601953602,1.65750110212,0.00534,2.82905982906,0.114216895696
5.36,4.35286935287,1.6501750948,0.00536,2.77777777778,0.0629348444139
