a1, b1, c1, a2, b2, c2, a3, b3, c3
0.185730,0.039215,0.986069,0.234256,0.128435,0.962180,-0.048526,-0.089220,0.023888,
0.254257,-0.010651,0.947922,0.236256,0.114526,0.960755,0.018001,-0.125177,-0.012833,
0.196899,-0.017914,0.971069,0.232320,0.101282,0.961786,-0.035421,-0.119196,0.009283,
0.175247,0.043182,0.929764,0.226613,0.095472,0.958584,-0.051366,-0.052290,-0.028820,
0.300430,0.040268,0.895599,0.233995,0.089952,0.952285,0.066435,-0.049684,-0.056686,
0.302628,-0.016510,0.967194,0.240858,0.079306,0.953776,0.061769,-0.095816,0.013417,
0.249817,0.040131,0.964050,0.241754,0.075388,0.954804,0.008063,-0.035257,0.009247,
0.192535,-0.047668,1.042297,0.236832,0.063082,0.963553,-0.044297,-0.110751,0.078744,
0.114822,0.043961,1.036545,0.224631,0.061170,0.970852,-0.109809,-0.017210,0.065693,
0.114075,0.058792,1.007797,0.213576,0.060932,0.974547,-0.099501,-0.002140,0.033251,
0.253479,0.024399,0.985962,0.217566,0.057279,0.975688,0.035913,-0.032880,0.010274,
0.112396,0.074402,0.961273,0.207049,0.058991,0.974247,-0.094653,0.015410,-0.012973,
0.178452,-0.014618,0.985611,0.204189,0.051630,0.975383,-0.025738,-0.066248,0.010228,
0.167770,-0.016891,0.979614,0.200547,0.044778,0.975806,-0.032777,-0.061670,0.003808,
0.178665,0.002121,0.959808,0.198359,0.040513,0.974206,-0.019694,-0.038392,-0.014398,
0.218018,0.069321,0.973251,0.200325,0.043393,0.974111,0.017693,0.025927,-0.000860,
0.265594,-0.021103,1.018112,0.206852,0.036944,0.978511,0.058743,-0.058047,0.039601,
0.185425,-0.009079,0.942276,0.204709,0.032341,0.974888,-0.019284,-0.041420,-0.032612,
0.233673,-0.006027,1.026489,0.207606,0.028505,0.980048,0.026068,-0.034532,0.046442,
0.222153,0.074677,0.914124,0.209060,0.033122,0.973455,0.013092,0.041555,-0.059332,
0.214859,0.043869,0.983368,0.209640,0.034196,0.974447,0.005219,0.009673,0.008921,
0.168533,0.055283,0.938431,0.205529,0.036305,0.970845,-0.036996,0.018977,-0.032414,
0.178299,-0.033524,0.977936,0.202806,0.029322,0.971554,-0.024507,-0.062846,0.006382,
0.138641,-0.119202,1.012970,0.196390,0.014470,0.975696,-0.057749,-0.133672,0.037274,
0.194305,0.107651,0.911514,0.196181,0.023788,0.969278,-0.001876,0.083863,-0.057763,
0.213455,0.006470,1.018250,0.197909,0.022056,0.974175,0.015546,-0.015586,0.044075,
0.254349,-0.094131,0.987274,0.203553,0.010437,0.975485,0.050796,-0.104569,0.011790,
0.138870,0.014420,1.009506,0.197085,0.010836,0.978887,-0.058214,0.003584,0.030619,
0.060822,0.148682,0.912643,0.183458,0.024620,0.972262,-0.122637,0.124061,-0.059619,
0.169235,0.054108,1.035019,0.182036,0.027569,0.978538,-0.012801,0.026539,0.056481,
0.240601,0.029526,1.101028,0.187892,0.027765,0.990787,0.052708,0.001761,0.110241,
0.147125,-0.028351,1.046539,0.183816,0.022153,0.996362,-0.036690,-0.050504,0.050177,
0.216782,0.226791,0.888733,0.187112,0.042617,0.985599,0.029669,0.184174,-0.096867,
0.126556,0.051743,1.020813,0.181057,0.043529,0.989121,-0.054500,0.008213,0.031692,
0.093628,0.074677,1.081314,0.172314,0.046644,0.998340,-0.078686,0.028032,0.082974,
0.106644,0.011993,1.077225,0.165747,0.043179,1.006229,-0.059103,-0.031186,0.070996,
0.159225,-0.005081,0.955765,0.165095,0.038353,1.001182,-0.005869,-0.043434,-0.045417,
0.236816,0.090179,0.913132,0.172267,0.043536,0.992377,0.064550,0.046644,-0.079245,
0.104507,0.053314,0.941742,0.165491,0.044514,0.987314,-0.060983,0.008801,-0.045572,
0.094101,-0.016449,0.967026,0.158352,0.038417,0.985285,-0.064251,-0.054866,-0.018259,
-0.009262,-0.032700,1.121857,0.141591,0.031306,0.998942,-0.150853,-0.064005,0.122915,
-0.127930,-0.095322,1.042496,0.114638,0.018643,1.003297,-0.242568,-0.113965,0.039198,
0.225769,0.025345,0.844742,0.125752,0.019313,0.987442,0.100017,0.006032,-0.142700,
0.209793,0.121719,0.964706,0.134156,0.029554,0.985168,0.075637,0.092166,-0.020462,
-0.214935,-0.011169,1.211151,0.099247,0.025481,1.007767,-0.314182,-0.036651,0.203385,
-0.033615,-0.090988,0.971481,0.085960,0.013834,1.004138,-0.119576,-0.104823,-0.032657,
0.263519,-0.101715,0.808105,0.103716,0.002279,0.984535,0.159803,-0.103995,-0.176429,
-0.130432,0.137360,0.954163,0.080301,0.015788,0.981498,-0.210734,0.121572,-0.027335,
-0.062271,-0.008270,1.082611,0.066044,0.013382,0.991609,-0.128315,-0.021652,0.091002,
-0.010025,-0.126083,1.093323,0.058437,-0.000565,1.001780,-0.068462,-0.125519,0.091542,
-0.155777,-0.020844,1.180313,0.037016,-0.002593,1.019634,-0.192793,-0.018251,0.160680,
-0.388290,0.029144,0.898514,-0.005515,0.000581,1.007522,-0.382776,0.028563,-0.109008,
0.340134,0.031128,0.892166,0.029050,0.003636,0.995986,0.311084,0.027492,-0.103820,
0.058640,0.096283,0.832413,0.032009,0.012900,0.979629,0.026631,0.083383,-0.147216,
-0.471985,-0.125671,1.195007,-0.018390,-0.000957,1.001167,-0.453594,-0.124715,0.193841,
0.203461,-0.101349,1.122818,0.003795,-0.010996,1.013332,0.199666,-0.090353,0.109486,
-0.223633,0.092194,0.836426,-0.018948,-0.000677,0.995641,-0.204685,0.092871,-0.159215,
0.115891,0.035034,0.970627,-0.005464,0.002894,0.993140,0.121355,0.032140,-0.022513,
-0.175629,-0.016052,1.014511,-0.022481,0.000999,0.995277,-0.153148,-0.017052,0.019234,
-0.178452,-0.024078,0.957428,-0.038078,-0.001508,0.991492,-0.140374,-0.022570,-0.034064,
-0.130203,0.059341,0.967850,-0.047290,0.004577,0.989128,-0.082913,0.054765,-0.021278,
-0.074829,-0.120911,1.048264,-0.050044,-0.007972,0.995041,-0.024785,-0.112939,0.053222,
-0.068497,0.033325,1.010147,-0.051889,-0.003842,0.996552,-0.016607,0.037168,0.013595,
-0.084412,-0.021927,0.980042,-0.055142,-0.005651,0.994901,-0.029270,-0.016276,-0.014859,
-0.086975,0.023285,1.001205,-0.058325,-0.002757,0.995531,-0.028650,0.026042,0.005674,
-0.191040,-0.099091,1.053711,-0.071596,-0.012391,1.001349,-0.119444,-0.086700,0.052362,
-0.113251,-0.007187,0.931305,-0.075762,-0.011870,0.994345,-0.037489,0.004683,-0.063040,
-0.130310,-0.080368,0.905319,-0.081217,-0.018720,0.985442,-0.049093,-0.061648,-0.080123,
-0.218628,-0.020432,1.119568,-0.094958,-0.018891,0.998855,-0.123670,-0.001540,0.120713,
-0.079269,-0.090347,0.997604,-0.093389,-0.026037,0.998730,0.014120,-0.064311,-0.001125,
-0.192581,-0.076096,0.985443,-0.103308,-0.031043,0.997401,-0.089273,-0.045053,-0.011958,
-0.133789,-0.015121,0.962708,-0.106356,-0.029451,0.993932,-0.027433,0.014329,-0.031224,
-0.152435,-0.035324,0.983444,-0.110964,-0.030038,0.992883,-0.041471,-0.005286,-0.009439,
-0.055008,-0.001541,0.937759,-0.105369,-0.027188,0.987371,0.050361,0.025647,-0.049611,
-0.141159,-0.037903,1.100845,-0.108948,-0.028260,0.998718,-0.032211,-0.009643,0.102127,
-0.036789,-0.008133,0.990250,-0.101732,-0.026247,0.997871,0.064943,0.018114,-0.007622,
-0.041519,-0.001862,0.965485,-0.095710,-0.023808,0.994633,0.054191,0.021947,-0.029148,
-0.181656,0.071350,1.026291,-0.104305,-0.014293,0.997798,-0.077351,0.085643,0.028492,
-0.139511,0.190353,0.903229,-0.107826,0.006172,0.988341,-0.031685,0.184181,-0.085113,
-0.070236,0.085754,1.108093,-0.104067,0.014130,1.000317,0.033830,0.071624,0.107777,
-0.021393,-0.010178,1.030823,-0.095799,0.011699,1.003367,0.074406,-0.021877,0.027455,
-0.083557,0.061569,0.941696,-0.094575,0.016686,0.997200,0.011018,0.044883,-0.055504,
-0.177917,0.132797,0.916290,-0.102909,0.028298,0.989109,-0.075008,0.104500,-0.072819,
-0.080292,0.019943,1.027908,-0.100648,0.027462,0.992989,0.020356,-0.007519,0.034919,
-0.209198,0.046387,1.079514,-0.111503,0.029355,1.001642,-0.097695,0.017032,0.077872,
0.052246,0.065781,0.938110,-0.095128,0.032997,0.995288,0.147374,0.032783,-0.057178,
-0.184402,0.086182,1.005402,-0.104055,0.038316,0.996300,-0.080347,0.047866,0.009102,
-0.131790,0.111328,1.003693,-0.106829,0.045617,0.997039,-0.024961,0.065711,0.006654,
-0.104965,0.066849,0.983780,-0.106642,0.047740,0.995713,0.001677,0.019109,-0.011933,
-0.037811,0.087677,0.972397,-0.099759,0.051734,0.993381,0.061948,0.035943,-0.020985,
-0.151169,0.102005,0.970123,-0.104900,0.056761,0.991056,-0.046269,0.045244,-0.020932,
-0.225555,0.048401,1.036942,-0.116966,0.055925,0.995644,-0.108590,-0.007524,0.041297,
